waveform	[0]		[1]	
t0	2018-03-21  12:31:36,208121		2018-03-21  12:31:36,208121	
delta t	2,000000E-6		2,000000E-6	

time[0]	Y[0]	time[1]	Y[1]
2018-03-21  12:31:36,208587	4,856957E-1	2018-03-21  12:31:36,208587	-9,678206E-2
2018-03-21  12:31:36,208589	4,856957E-1	2018-03-21  12:31:36,208589	-1,009914E-1
2018-03-21  12:31:36,208591	4,899614E-1	2018-03-21  12:31:36,208591	-1,052008E-1
2018-03-21  12:31:36,208593	4,899614E-1	2018-03-21  12:31:36,208593	-1,094102E-1
2018-03-21  12:31:36,208595	4,899614E-1	2018-03-21  12:31:36,208595	-1,136196E-1
2018-03-21  12:31:36,208597	4,899614E-1	2018-03-21  12:31:36,208597	-1,178290E-1
2018-03-21  12:31:36,208599	4,856957E-1	2018-03-21  12:31:36,208599	-1,220383E-1
2018-03-21  12:31:36,208601	4,942272E-1	2018-03-21  12:31:36,208601	-1,262477E-1
2018-03-21  12:31:36,208603	4,899614E-1	2018-03-21  12:31:36,208603	-1,262477E-1
2018-03-21  12:31:36,208605	4,814299E-1	2018-03-21  12:31:36,208605	-1,262477E-1
2018-03-21  12:31:36,208607	4,771642E-1	2018-03-21  12:31:36,208607	-1,346665E-1
2018-03-21  12:31:36,208609	4,771642E-1	2018-03-21  12:31:36,208609	-1,388759E-1
2018-03-21  12:31:36,208611	4,856957E-1	2018-03-21  12:31:36,208611	-1,430852E-1
2018-03-21  12:31:36,208613	4,899614E-1	2018-03-21  12:31:36,208613	-1,430852E-1
2018-03-21  12:31:36,208615	4,899614E-1	2018-03-21  12:31:36,208615	-1,472946E-1
2018-03-21  12:31:36,208617	4,814299E-1	2018-03-21  12:31:36,208617	-1,557134E-1
2018-03-21  12:31:36,208619	4,814299E-1	2018-03-21  12:31:36,208619	-1,557134E-1
2018-03-21  12:31:36,208621	4,856957E-1	2018-03-21  12:31:36,208621	-1,599227E-1
2018-03-21  12:31:36,208623	4,728984E-1	2018-03-21  12:31:36,208623	-1,641321E-1
