Oscilloscope data: SCP 

Time base: 0,002402 seconds per division
Time offset: 0,000000 seconds
Channel A sensitivity : 2,000000 volts per division
Channel A offset: 0,000000 volts
Channel A color: 255
Channel B sensitivity : 0,500000 volts per division
Channel B offset: 0,000000 volts
Channel B color: 255
Channel A connected: yes
Channel B connected: yes

Column 1  Time (S)
Column 2  Channel_A Voltage(V)
Column 3  Channel_B Voltage(V)

Time                  Channel_A    Channel_B
--------------------------------------------
 2,611668146486e-003  2,0000e+000 -1,9636e-002
 2,621668146486e-003  2,0000e+000 -2,0074e-002
 2,631668146486e-003  2,0000e+000 -2,0479e-002
 2,641668146486e-003  2,0000e+000 -2,0854e-002
 2,651668146486e-003  2,0000e+000 -2,1198e-002
 2,661668146486e-003  2,0000e+000 -2,1513e-002
 2,671668146486e-003  2,0000e+000 -2,1799e-002
 2,681668146486e-003  2,0000e+000 -2,2057e-002
 2,691668146486e-003  2,0000e+000 -2,2287e-002
 2,701668146486e-003  2,0000e+000 -2,2491e-002
 2,711668146486e-003  2,0000e+000 -2,2669e-002
 2,721668146486e-003  2,0000e+000 -2,2821e-002
 2,731668146486e-003  2,0000e+000 -2,2949e-002
 2,741668146486e-003  2,0000e+000 -2,3052e-002
 2,751668146486e-003  2,0000e+000 -2,3133e-002
 2,761668146486e-003  2,0000e+000 -2,3190e-002
 2,771668146486e-003  2,0000e+000 -2,3225e-002
 2,781668146486e-003  2,0000e+000 -2,3239e-002
 2,791668146486e-003  2,0000e+000 -2,3232e-002
 2,801668146486e-003  2,0000e+000 -2,3204e-002
 2,811668146486e-003  2,0000e+000 -2,3157e-002
 2,821668146486e-003  2,0000e+000 -2,3090e-002
 2,831668146486e-003  2,0000e+000 -2,3005e-002
 2,841668146486e-003  2,0000e+000 -2,2902e-002
 2,851668146486e-003  2,0000e+000 -2,2781e-002
 2,861668146486e-003  2,0000e+000 -2,2643e-002
 2,871668146486e-003  2,0000e+000 -2,2489e-002
 2,881668146486e-003  2,0000e+000 -2,2319e-002
 2,891668146486e-003  2,0000e+000 -2,2134e-002
 2,901668146486e-003  2,0000e+000 -2,1934e-002
 2,911668146486e-003  2,0000e+000 -2,1719e-002
 2,921668146486e-003  2,0000e+000 -2,1491e-002
 2,931668146486e-003  2,0000e+000 -2,1249e-002
 2,941668146486e-003  2,0000e+000 -2,0994e-002
 2,951668146486e-003  2,0000e+000 -2,0727e-002
 2,961668146486e-003  2,0000e+000 -2,0448e-002
 2,971668146486e-003  2,0000e+000 -2,0157e-002
 2,981668146486e-003  2,0000e+000 -1,9855e-002
 2,991668146486e-003  2,0000e+000 -1,9543e-002
 3,001668146486e-003  2,0000e+000 -1,9220e-002
 3,011668146486e-003  2,0000e+000 -1,8888e-002
 3,021668146486e-003  2,0000e+000 -1,8546e-002
 3,031668146486e-003  2,0000e+000 -1,8195e-002
 3,041668146486e-003  2,0000e+000 -1,7836e-002
 3,051668146486e-003  2,0000e+000 -1,7468e-002
 3,061668146486e-003  2,0000e+000 -1,7093e-002
 3,071668146486e-003  2,0000e+000 -1,6710e-002
 3,081668146486e-003  2,0000e+000 -1,6320e-002
 3,091668146486e-003  2,0000e+000 -1,5923e-002
 3,101668146486e-003  2,0000e+000 -1,5520e-002
 3,111668146486e-003  2,0000e+000 -1,5111e-002
 3,121668146486e-003  2,0000e+000 -1,4696e-002
 3,131668146486e-003  2,0000e+000 -1,4276e-002
 3,141668146486e-003  2,0000e+000 -1,3851e-002
 3,151668146486e-003  2,0000e+000 -1,3421e-002
 3,161668146486e-003  2,0000e+000 -1,2987e-002
 3,171668146486e-003  2,0000e+000 -1,2548e-002
 3,181668146486e-003  2,0000e+000 -1,2106e-002
 3,191668146486e-003  2,0000e+000 -1,1660e-002
 3,201668146486e-003  2,0000e+000 -1,1210e-002
 3,211668146486e-003  2,0000e+000 -1,0758e-002
 3,221668146486e-003  2,0000e+000 -1,0303e-002
 3,231668146486e-003  2,0000e+000 -9,8455e-003
 3,241668146486e-003  2,0000e+000 -9,3858e-003
 3,251668146486e-003  2,0000e+000 -8,9240e-003
 3,261668146486e-003  2,0000e+000 -8,4606e-003
 3,271668146486e-003  2,0000e+000 -7,9957e-003
 3,281668146486e-003  2,0000e+000 -7,5294e-003
 3,291668146486e-003  2,0000e+000 -7,0621e-003
 3,301668146486e-003  2,0000e+000 -6,5940e-003
 3,311668146486e-003  2,0000e+000 -6,1253e-003
 3,321668146486e-003  2,0000e+000 -5,6561e-003
 3,331668146486e-003  2,0000e+000 -5,1867e-003
 3,341668146486e-003  2,0000e+000 -4,7173e-003
 3,351668146486e-003  2,0000e+000 -4,2481e-003
 3,361668146486e-003  2,0000e+000 -3,7791e-003
 3,371668146486e-003  2,0000e+000 -3,3108e-003
 3,381668146486e-003  2,0000e+000 -2,8431e-003
 3,391668146486e-003  2,0000e+000 -2,3762e-003
 3,401668146486e-003  2,0000e+000 -1,9104e-003
 3,411668146486e-003  2,0000e+000 -1,4458e-003
 3,421668146486e-003  2,0000e+000 -9,8250e-004
 3,431668146486e-003  2,0000e+000 -5,2068e-004
 3,441668146486e-003  2,0000e+000 -6,0496e-005
 3,451668146486e-003  2,0000e+000  3,9793e-004
 3,461668146486e-003  2,0000e+000  8,5446e-004
 3,471668146486e-003  2,0000e+000  1,3090e-003
 3,481668146486e-003  2,0000e+000  1,7613e-003
 3,491668146486e-003  2,0000e+000  2,2114e-003
 3,501668146486e-003  2,0000e+000  2,6591e-003
 3,511668146486e-003  2,0000e+000  3,1043e-003
 3,521668146486e-003  2,0000e+000  3,5470e-003
 3,531668146486e-003  2,0000e+000  3,9869e-003
 3,541668146486e-003  2,0000e+000  4,4240e-003
 3,551668146486e-003  2,0000e+000  4,8582e-003
 3,561668146486e-003  2,0000e+000  5,2894e-003
 3,571668146486e-003  2,0000e+000  5,7175e-003
 3,581668146486e-003  2,0000e+000  6,1425e-003
 3,591668146486e-003  2,0000e+000  6,5642e-003
 3,601668146486e-003  2,0000e+000  6,9826e-003
 3,611668146486e-003  2,0000e+000  7,3976e-003
 3,621668146486e-003  2,0000e+000  7,8091e-003
 3,631668146486e-003  2,0000e+000  8,2172e-003
 3,641668146486e-003  2,0000e+000  8,6216e-003
 3,651668146486e-003  2,0000e+000  9,0224e-003
 3,661668146486e-003  2,0000e+000  9,4194e-003
 3,671668146486e-003  2,0000e+000  9,8127e-003
 3,681668146486e-003  2,0000e+000  1,0202e-002
 3,691668146486e-003  2,0000e+000  1,0588e-002
 3,701668146486e-003  2,0000e+000  1,0970e-002
 3,711668146486e-003  2,0000e+000  1,1347e-002
 3,721668146486e-003  2,0000e+000  1,1721e-002
 3,731668146486e-003  2,0000e+000  1,2091e-002
 3,741668146486e-003  2,0000e+000  1,2457e-002
 3,751668146486e-003  2,0000e+000  1,2818e-002
 3,761668146486e-003  2,0000e+000  1,3176e-002
 3,771668146486e-003  2,0000e+000  1,3529e-002
 3,781668146486e-003  2,0000e+000  1,3878e-002
 3,791668146486e-003  2,0000e+000  1,4223e-002
 3,801668146486e-003  2,0000e+000  1,4564e-002
 3,811668146486e-003  2,0000e+000  1,4901e-002
 3,821668146486e-003  2,0000e+000  1,5233e-002
 3,831668146486e-003  2,0000e+000  1,5561e-002
 3,841668146486e-003  2,0000e+000  1,5885e-002
 3,851668146486e-003  2,0000e+000  1,6204e-002
 3,861668146486e-003  2,0000e+000  1,6520e-002
 3,871668146486e-003  2,0000e+000  1,6831e-002
 3,881668146486e-003  2,0000e+000  1,7137e-002
 3,891668146486e-003  2,0000e+000  1,7440e-002
 3,901668146486e-003  2,0000e+000  1,7738e-002
 3,911668146486e-003  2,0000e+000  1,8032e-002
 3,921668146486e-003  2,0000e+000  1,8321e-002
 3,931668146486e-003  2,0000e+000  1,8607e-002
 3,941668146486e-003  2,0000e+000  1,8888e-002
 3,951668146486e-003  2,0000e+000  1,9164e-002
 3,961668146486e-003  2,0000e+000  1,9437e-002
 3,971668146486e-003  2,0000e+000  1,9705e-002
 3,981668146486e-003  2,0000e+000  1,9969e-002
 3,991668146486e-003  2,0000e+000  2,0229e-002
